name,phrase,numberOfWords
FINN,How bad is it,4
REY,If we wanna live not good,6
FINN,They're hunting for us now we gotta get outta this system,11
REY,BB-8 said the location of the Resistance Base is need to know if I'm taking you there I need to know,21
FINN,This,1
FINN,You gotta tell us where the base is,8
REY,Pilex driver hurry,3
REY,So where's your base,4
FINN,Go on BB-8 tell her,5
REY,The Ileenium system,3
FINN,Yeah the Ileenium system that's the one get us there as fast as you can,15
REY,I'll drop you two at Ponemah Terminal I need the bonding tape hurry,13
FINN,What about you,3
REY,I gotta get back to Jakku,6
FINN,BACK TO JAK Why does everyone always wanna go back to Jakku ,12
REY,No that one No No The one I'm pointing to No NO NO If we don't patch it up the propulsion tank will overflow and flood the ship with poisonous gas,31
FINN,This,1
REY,Yes,1
FINN,Hey Rey You're a pilot you can fly anywhere Why go back You got a family You got a boyfriend Cute boyfriend,22
REY,None of your business THAT'S WHY,6
FINN, That can't be good,4
REY,No it can't be,4
REY,Someone's locked onto us all controls are overridden,8
REY,Get off Get off See anything,6
FINN, Oh no,2
FINN,It's the First Order,4
REY,What do we dothere must be,6
FINN,You said poisonous gas,4
REY,Yeah but I fixed that,5
FINN,Can you unfix it,4
REY,C'mon BB-8,2
FINN,I got it,3
REY,Oooh,1
FINN,I'm okay BB-8 get off me,6
REY,You think this'll work on the Stormtroopers,7
FINN,Yeah Their masks filter out smoke not toxins,8
FINN,Hurry,1
REY,I'm hurrying,2
HAN,Chewie we're home,3
HAN,Where are the others Where's the pilot,7
REY,I'm the pilot,3
HAN,You,1
REY,No it's true we're the only ones on board,9
FINN,You can understand that thing,5
HAN,And that thing can understand you too so watch it Come on outta there,14
HAN,Where'd you get this ship,5
REY,Niima Outpost,2
HAN,Jakku That junkyard,3
FINN,Thank you Junkyard,3
HAN,Told ya we should've double-checked the Western Reaches,8
REY,I stole it from Unkar Plutt He stole it from the Irving Boys who stole it from Ducain,18
HAN,Who stole it from me Well you tell him Han Solo just stole back the Millennium Falcon for good,19
REY,This is the Millennium Falcon You're Han Solo,8
HAN,I used to be,4
FINN,Han Solo The Rebellion General,5
REY,No the smuggler,3
FINN,Wasn't he a war hero,5
REY,This is the ship that made the Kessel Run in fourteen parsecs,12
HAN,Twelve Fourteen,2
HAN,Hey Some moof-milker put a compressor on the ignition line,10
REY,Unkar Plutt did I thought it was a mistake too puts too much stress on,15
HAN,Stress on the hyperdriveChewie throw 'em in a pod we'll drop them at the nearest inhabited planet,17
REY,Wait No we need your help,6
HAN,My help,2
REY,This droid has to get to the Resistance base as soon as possible,13
FINN,He's carrying a map to Luke Skywalker,7
FINN,You are the Han Solo that fought with the Rebellion You knew him,13
HAN,Yeah I knew him I knew Luke,7
HAN,Don't tell me a Rathtar's gotten,6
FINN,Wait a what Did you just say Rathtars Hey,9
FINN,You're not hauling Rathtars on this freighter are you,9
HAN,I'm hauling Rathtars,3
HAN,Oh great It's the Guavian Death Gang they must've tracked us from Nantoon,13
REY,What's a Rathtar,3
FINN,Y'ever heard of the Trillia Massacre,6
REY,No,1
FINN,Good,1
HAN,I got three of 'em going to King Prana,9
FINN,THREE How'd you get them on board,7
HAN,I used to have a bigger crew,7
HAN,Get below deck and stay there until I say so don't even think about taking the Falcon,17
REY,What about BB-8,3
HAN,He stays with me until I get rid of the gang then you can have him back and be on your way,22
FINN,What about the Rathtars where are you keeping them,9
HAN,There's one,2
REY,What are you gonna do,5
HAN,Same thing I always do talk my way out of it,11
HAN,Bala-Tik What's the problem,4
REY,Can you see them,4
FINN,No,1
HAN,You know you can't trust those little freaks How long've we known each other,14
REY,They have blasters,3
FINN,A lot of 'em,4
